Change Physical Footprint: Designator=LED6 Old Footprint=LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC New Footprint=LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC
Change Physical Footprint: Designator=LED7 Old Footprint=LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC New Footprint=LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC
Change Physical Footprint: Designator=LED8 Old Footprint=LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC New Footprint=LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC
Change Physical Footprint: Designator=LED9 Old Footprint=LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC New Footprint=LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC
Change Physical Footprint: Designator=LED10 Old Footprint=LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC New Footprint=LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC
Change Physical Footprint: Designator=P1 Old Footprint=XT30PW-M New Footprint=XT30PW-M
Change Physical Footprint: Designator=R1 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R2 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R3 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R4 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R5 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R6 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R7 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R8 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R9 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R10 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R11 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R12 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R13 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R14 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R15 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R16 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R17 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R18 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R19 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R20 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R21 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R22 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R23 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R24 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R25 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R26 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R27 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R28 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R29 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R30 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R31 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R32 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R33 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R34 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R35 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R36 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R37 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R38 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R39 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R40 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R41 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R42 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R43 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R44 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=R45 Old Footprint=R0402 New Footprint=R0402
Change Physical Footprint: Designator=S1 Old Footprint=KEY_SMD New Footprint=KEY_SMD
Change Physical Footprint: Designator=S2 Old Footprint=KEY_SMD New Footprint=KEY_SMD
Change Physical Footprint: Designator=U1 Old Footprint=CONN-SMD_6P-P1.50_ZX-ZH1.5-6PWT New Footprint=CONN-SMD_6P-P1.50_ZX-ZH1.5-6PWT
Change Physical Footprint: Designator=U2 Old Footprint=SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL New Footprint=SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL
Change Physical Footprint: Designator=U3 Old Footprint=CONN-SMD_6P-P1.50_ZX-ZH1.5-6PWT New Footprint=CONN-SMD_6P-P1.50_ZX-ZH1.5-6PWT
Change Physical Footprint: Designator=U4 Old Footprint=LQFP-48 New Footprint=LQFP-48
Change Physical Footprint: Designator=U5 Old Footprint=SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL New Footprint=SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL
Change Physical Footprint: Designator=U6 Old Footprint=CONN-SMD_6P-P1.50_ZX-ZH1.5-6PWT New Footprint=CONN-SMD_6P-P1.50_ZX-ZH1.5-6PWT
